Codigo;Local;HM;HM-15:19;HM-20:24;HM-25:29;HM-30:34;HM-35:39;HM-40:44;HM-45:49;HM-50:54;HM-55:59;HM-60:64;HM-65+;H;H-15:19;H-20:24;H-25:29;H-30:34;H-35:39;H-40:44;H-45:49;H-50:54;H-55:59;H-60:64;H-65+;M;M-15:19;M-20:24;M-25:29;M-30:34;M-35:39;M-40:44;M-45:49;M-50:54;M-55:59;M-60:64;M-65+
16;Centro;116014;5286;15632;14964;13951;13277;12530;12619;12082;10287;5335;51;55259;2857;7498;6912;6027;5613;5475;5991;5975;5737;3157;17;60755;2429;8134;8052;7924;7664;7055;6628;6107;4550;2178;34
16D;Região de Aveiro;21251;1036;2827;2640;2530;2356;2362;2333;2288;1944;930;5;9893;538;1309;1181;1058;986;1013;1086;1076;1107;536;3;11358;498;1518;1459;1472;1370;1349;1247;1212;837;394;2
0101;Águeda;2358;89;295;274;279;235;256;249;306;258;115;2;1024;47;121;114;117;93;100;107;134;136;54;1;1334;42;174;160;162;142;156;142;172;122;61;1
0102;Albergaria-a-Velha;1257;61;153;148;140;132;152;157;142;112;60;0;555;23;55;62;51;58;74;68;65;65;34;0;702;38;98;86;89;74;78;89;77;47;26;0
0103;Anadia;1316;52;191;151;148;118;135;150;159;136;76;0;646;29;95;74;61;46;69;75;69;86;42;0;670;23;96;77;87;72;66;75;90;50;34;0
0105;Aveiro;4302;204;580;612;556;485;453;460;425;376;151;0;2099;108;293;293;260;206;193;211;222;231;82;0;2203;96;287;319;296;279;260;249;203;145;69;0
0108;Estarreja;1472;79;221;200;171;154;161;149;145;136;56;0;686;46;92;85;73;61;75;74;69;79;32;0;786;33;129;115;98;93;86;75;76;57;24;0
0110;Ílhavo;2295;121;300;302;287;273;268;245;227;183;88;1;1117;72;144;137;123;120;115;120;115;109;61;1;1178;49;156;165;164;153;153;125;112;74;27;0
0111;Mealhada;835;41;124;112;109;90;84;78;96;66;35;0;412;19;64;49;47;35;40;48;48;37;25;0;423;22;60;63;62;55;44;30;48;29;10;0
0112;Murtosa;549;44;91;83;66;64;64;51;35;36;15;0;239;26;36;32;24;29;23;21;14;23;11;0;310;18;55;51;42;35;41;30;21;13;4;0
0114;Oliveira do Bairro;1134;52;169;142;140;147;129;119;94;84;58;0;502;26;83;52;51;55;48;55;42;50;40;0;632;26;86;90;89;92;81;64;52;34;18;0
0115;Ovar;4132;213;483;422;441;509;477;502;480;414;191;0;1895;104;236;195;177;220;200;234;213;212;104;0;2237;109;247;227;264;289;277;268;267;202;87;0
0117;Sever do Vouga;556;19;66;55;61;48;63;60;84;65;34;1;223;9;24;24;20;17;18;27;32;32;19;1;333;10;42;31;41;31;45;33;52;33;15;0
0118;Vagos;1045;61;154;139;132;101;120;113;95;78;51;1;495;29;66;64;54;46;58;46;53;47;32;0;550;32;88;75;78;55;62;67;42;31;19;1
16E;Região de Coimbra;16110;632;2106;2335;2028;1862;1621;1720;1672;1368;760;6;7983;344;1025;1113;948;832;752;866;854;802;446;1;8127;288;1081;1222;1080;1030;869;854;818;566;314;5
0602;Cantanhede;1445;56;193;228;177;164;149;144;140;118;75;1;686;31;83;92;80;58;65;78;69;77;53;0;759;25;110;136;97;106;84;66;71;41;22;1
0603;Coimbra;7177;296;946;1125;924;805;683;764;740;598;295;1;3822;162;492;588;491;386;354;422;404;361;162;0;3355;134;454;537;433;419;329;342;336;237;133;1
0604;Condeixa-a-Nova;731;33;97;94;94;89;94;71;77;52;29;1;339;14;44;42;40;44;36;31;38;31;19;0;392;19;53;52;54;45;58;40;39;21;10;1
0605;Figueira da Foz;3552;113;427;445;460;468;377;380;378;316;185;3;1661;72;207;215;188;203;159;165;184;161;106;1;1891;41;220;230;272;265;218;215;194;155;79;2
0608;Mira;595;19;84;77;94;56;49;53;66;59;38;0;254;8;27;29;35;22;19;26;30;36;22;0;341;11;57;48;59;34;30;27;36;23;16;0
0610;Montemor-o-Velho;1218;54;182;184;126;126;143;143;108;103;49;0;552;23;81;74;53;54;62;65;52;59;29;0;666;31;101;110;73;72;81;78;56;44;20;0
0613;Penacova;590;37;77;65;66;59;52;76;67;50;41;0;299;18;41;24;30;27;28;40;34;32;25;0;291;19;36;41;36;32;24;36;33;18;16;0
0615;Soure;802;24;100;117;87;95;74;89;96;72;48;0;370;16;50;49;31;38;29;39;43;45;30;0;432;8;50;68;56;57;45;50;53;27;18;0
16F;Região de Leiria;11587;532;1500;1436;1472;1372;1318;1250;1139;985;575;8;5252;266;713;644;586;514;547;567;548;554;311;2;6335;266;787;792;886;858;771;683;591;431;264;6
1004;Batalha;611;22;79;76;73;67;61;66;59;69;38;1;276;15;39;37;28;22;24;27;27;37;20;0;335;7;40;39;45;45;37;39;32;32;18;1
1009;Leiria;5693;283;745;757;739;650;624;584;544;473;290;4;2638;132;365;352;292;252;262;277;267;276;162;1;3055;151;380;405;447;398;362;307;277;197;128;3
1010;Marinha Grande;2044;78;243;227;254;263;256;260;234;154;74;1;882;45;117;101;95;98;105;114;97;70;40;0;1162;33;126;126;159;165;151;146;137;84;34;1
1015;Pombal;2157;109;295;247;257;253;250;229;198;206;113;0;996;58;133;105;103;92;107;97;105;128;68;0;1161;51;162;142;154;161;143;132;93;78;45;0
1016;Porto de Mós;1082;40;138;129;149;139;127;111;104;83;60;2;460;16;59;49;68;50;49;52;52;43;21;1;622;24;79;80;81;89;78;59;52;40;39;1
164;Pinhal Interior Norte;5953;267;863;734;678;653;655;678;616;554;254;1;2797;160;409;329;279;243;278;331;294;307;167;0;3156;107;454;405;399;410;377;347;322;247;87;1
0601;Arganil;471;26;77;62;44;48;51;49;53;40;21;0;252;17;38;31;19;21;29;27;34;21;15;0;219;9;39;31;25;27;22;22;19;19;6;0
0606;Góis;149;4;30;16;17;10;14;21;20;13;4;0;73;1;16;9;6;5;5;13;9;6;3;0;76;3;14;7;11;5;9;8;11;7;1;0
0607;Lousã;913;44;125;128;113;122;122;106;75;54;23;1;401;28;59;57;48;41;46;46;37;26;13;0;512;16;66;71;65;81;76;60;38;28;10;1
0609;Miranda do Corvo;598;19;103;88;76;64;69;63;53;42;21;0;297;13;47;44;33;22;37;34;28;25;14;0;301;6;56;44;43;42;32;29;25;17;7;0
0611;Oliveira do Hospital;1026;55;139;141;125;99;98;120;116;95;38;0;479;33;64;62;52;40;42;47;55;57;27;0;547;22;75;79;73;59;56;73;61;38;11;0
0612;Pampilhosa da Serra;130;7;11;18;10;18;17;12;17;14;6;0;72;6;6;11;5;8;11;10;6;5;4;0;58;1;5;7;5;10;6;2;11;9;2;0
0614;Penela;237;8;19;21;28;22;26;31;29;31;22;0;118;5;9;11;12;8;10;18;12;18;15;0;119;3;10;10;16;14;16;13;17;13;7;0
0616;Tábua;535;34;71;55;63;66;50;64;57;51;24;0;270;20;39;25;27;30;19;33;33;31;13;0;265;14;32;30;36;36;31;31;24;20;11;0
0617;Vila Nova de Poiares;307;9;59;39;42;32;29;32;24;30;11;0;150;6;28;15;15;10;15;20;12;21;8;0;157;3;31;24;27;22;14;12;12;9;3;0
1002;Alvaiázere;280;13;56;32;36;25;38;22;19;27;12;0;140;5;25;19;19;10;16;8;9;21;8;0;140;8;31;13;17;15;22;14;10;6;4;0
1003;Ansião;565;22;78;58;49;71;69;54;60;66;38;0;244;11;33;22;22;24;25;25;24;33;25;0;321;11;45;36;27;47;44;29;36;33;13;0
1007;Castanheira de Pêra;168;6;21;22;17;15;15;24;19;26;3;0;72;4;11;8;7;6;6;9;6;13;2;0;96;2;10;14;10;9;9;15;13;13;1;0
1008;Figueiró dos Vinhos;364;13;46;29;44;36;33;44;53;42;24;0;144;7;23;5;9;11;8;23;20;23;15;0;220;6;23;24;35;25;25;21;33;19;9;0
1013;Pedrógão Grande;210;7;28;25;14;25;24;36;21;23;7;0;85;4;11;10;5;7;9;18;9;7;5;0;125;3;17;15;9;18;15;18;12;16;2;0
16G;Viseu Dão Lafões;13502;632;1884;1713;1610;1494;1408;1433;1368;1229;723;8;6366;338;834;765;684;605;598;649;703;697;490;3;7136;294;1050;948;926;889;810;784;665;532;233;5
0901;Aguiar da Beira;174;8;28;24;23;20;23;21;16;9;2;0;62;1;15;5;7;6;5;8;7;7;1;0;112;7;13;19;16;14;18;13;9;2;1;0
1802;Carregal do Sal;431;24;73;47;49;51;41;54;33;29;30;0;236;16;32;22;21;24;21;31;20;24;25;0;195;8;41;25;28;27;20;23;13;5;5;0
1803;Castro Daire;564;37;78;69;63;60;61;64;50;48;33;1;272;21;34;30;26;26;24;29;25;34;23;0;292;16;44;39;37;34;37;35;25;14;10;1
1806;Mangualde;1189;54;143;133;114;148;127;158;124;128;60;0;507;27;62;59;38;49;43;58;57;75;39;0;682;27;81;74;76;99;84;100;67;53;21;0
1808;Mortágua;324;14;40;55;36;35;28;25;39;32;20;0;150;4;21;23;18;16;16;12;14;11;15;0;174;10;19;32;18;19;12;13;25;21;5;0
1809;Nelas;688;26;81;80;93;64;85;69;76;84;30;0;297;15;37;35;39;21;32;28;32;40;18;0;391;11;44;45;54;43;53;41;44;44;12;0
1810;Oliveira de Frades;418;25;58;48;37;53;44;41;44;45;22;1;190;15;23;17;13;24;19;18;20;25;15;1;228;10;35;31;24;29;25;23;24;20;7;0
1811;Penalva do Castelo;363;16;52;47;53;32;40;36;40;25;22;0;128;9;14;14;16;9;10;10;21;11;14;0;235;7;38;33;37;23;30;26;19;14;8;0
1814;Santa Comba Dão;580;26;67;71;55;53;60;65;62;68;51;2;290;16;35;29;21;26;27;31;22;44;38;1;290;10;32;42;34;27;33;34;40;24;13;1
1816;São Pedro do Sul;743;36;101;90;84;81;80;86;78;65;40;2;302;20;38;33;30;32;30;37;35;23;24;0;441;16;63;57;54;49;50;49;43;42;16;2
1817;Sátão;597;39;99;54;70;61;72;64;70;42;26;0;253;19;34;21;26;24;27;25;36;23;18;0;344;20;65;33;44;37;45;39;34;19;8;0
1821;Tondela;1301;66;186;147;120;134;132;143;162;120;91;0;703;36;90;70;60;67;67;77;92;79;65;0;598;30;96;77;60;67;65;66;70;41;26;0
1822;Vila Nova de Paiva;253;12;35;32;30;30;23;29;28;24;10;0;125;10;16;14;15;13;10;12;14;12;9;0;128;2;19;18;15;17;13;17;14;12;1;0
1823;Viseu;5443;224;772;766;737;629;536;533;505;469;270;2;2641;117;358;371;331;247;241;252;282;265;176;1;2802;107;414;395;406;382;295;281;223;204;94;1
1824;Vouzela;434;25;71;50;46;43;56;45;41;41;16;0;210;12;25;22;23;21;26;21;26;24;10;0;224;13;46;28;23;22;30;24;15;17;6;0
16H;Beira Baixa;1357;60;202;181;160;144;130;147;132;131;69;1;693;33;87;82;70;66;63;78;75;90;49;0;664;27;115;99;90;78;67;69;57;41;20;1
0506;Oleiros;94;1;23;13;13;8;10;8;7;7;4;0;49;1;10;7;6;5;4;5;6;4;1;0;45;0;13;6;7;3;6;3;1;3;3;0
0508;Proença-a-Nova;297;12;25;38;39;30;27;33;39;35;19;0;152;7;13;20;15;13;14;13;18;25;14;0;145;5;12;18;24;17;13;20;21;10;5;0
0509;Sertã;629;31;100;81;65;74;66;71;58;51;31;1;282;16;27;30;26;28;29;32;37;35;22;0;347;15;73;51;39;46;37;39;21;16;9;1
0510;Vila de Rei;102;3;18;14;8;8;9;13;9;15;5;0;69;1;14;7;5;5;7;11;3;11;5;0;33;2;4;7;3;3;2;2;6;4;0;0
1413;Mação;235;13;36;35;35;24;18;22;19;23;10;0;141;8;23;18;18;15;9;17;11;15;7;0;94;5;13;17;17;9;9;5;8;8;3;0
16J;Beiras e Serra da Estrela;2363;95;329;267;223;217;230;299;299;281;121;2;1117;53;165;113;97;91;111;139;142;136;69;1;1246;42;164;154;126;126;119;160;157;145;52;1
0905;Fornos de Algodres;267;12;38;29;30;25;27;42;29;25;10;0;120;6;20;8;9;11;12;19;12;16;7;0;147;6;18;21;21;14;15;23;17;9;3;0
0906;Gouveia;764;25;104;85;74;75;81;82;94;96;47;1;363;16;50;37;37;34;36;43;36;49;24;1;401;9;54;48;37;41;45;39;58;47;23;0
0912;Seia;1332;58;187;153;119;117;122;175;176;160;64;1;634;31;95;68;51;46;63;77;94;71;38;0;698;27;92;85;68;71;59;98;82;89;26;1
168;Beira Interior Norte;5101;163;707;645;623;621;561;609;531;422;215;4;2316;95;326;272;281;249;215;280;251;219;126;2;2785;68;381;373;342;372;346;329;280;203;89;2
0902;Almeida;261;5;46;40;27;21;25;39;29;17;12;0;123;3;23;17;14;11;12;17;12;7;7;0;138;2;23;23;13;10;13;22;17;10;5;0
0903;Celorico da Beira;349;13;65;46;48;42;25;38;34;19;19;0;187;6;34;20;25;16;14;26;20;11;15;0;162;7;31;26;23;26;11;12;14;8;4;0
0904;Figueira de Castelo Rodrigo;313;10;58;53;24;38;31;36;32;17;13;1;156;5;23;26;15;17;10;20;17;12;11;0;157;5;35;27;9;21;21;16;15;5;2;1
0907;Guarda;2633;70;283;314;350;350;316;324;265;244;117;0;1182;48;131;135;156;138;124;139;123;123;65;0;1451;22;152;179;194;212;192;185;142;121;52;0
0908;Manteigas;192;2;26;20;20;25;20;21;33;18;7;0;84;2;15;8;8;9;7;8;11;14;2;0;108;0;11;12;12;16;13;13;22;4;5;0
0909;Meda;174;4;31;32;25;15;13;16;13;18;6;1;74;0;17;12;9;5;4;12;7;5;3;0;100;4;14;20;16;10;9;4;6;13;3;1
0910;Pinhel;471;16;48;50;63;58;61;60;59;41;15;0;150;8;15;19;15;19;12;19;18;16;9;0;321;8;33;31;48;39;49;41;41;25;6;0
0911;Sabugal;389;28;79;44;36;41;38;44;35;27;17;0;202;16;38;15;22;23;19;21;23;18;7;0;187;12;41;29;14;18;19;23;12;9;10;0
0913;Trancoso;319;15;71;46;30;31;32;31;31;21;9;2;158;7;30;20;17;11;13;18;20;13;7;2;161;8;41;26;13;20;19;13;11;8;2;0
169;Beira Interior Sul;3324;122;394;442;378;378;343;367;370;333;197;0;1628;64;184;219;151;176;148;184;187;206;109;0;1696;58;210;223;227;202;195;183;183;127;88;0
0502;Castelo Branco;2695;105;306;358;315;303;277;306;307;260;158;0;1297;55;146;179;118;137;107;147;157;159;92;0;1398;50;160;179;197;166;170;159;150;101;66;0
0505;Idanha-a-Nova;349;8;42;46;33;46;35;36;38;42;23;0;174;4;19;21;16;24;24;19;15;24;8;0;175;4;23;25;17;22;11;17;23;18;15;0
0507;Penamacor;189;4;35;28;23;21;27;16;17;16;2;0;99;1;16;14;14;8;15;10;10;10;1;0;90;3;19;14;9;13;12;6;7;6;1;0
0511;Vila Velha de Ródão;91;5;11;10;7;8;4;9;8;15;14;0;58;4;3;5;3;7;2;8;5;13;8;0;33;1;8;5;4;1;2;1;3;2;6;0
16A;Cova da Beira;5491;188;693;667;602;598;597;632;680;579;250;5;2603;119;346;330;266;256;259;295;333;260;138;1;2888;69;347;337;336;342;338;337;347;319;112;4
0501;Belmonte;472;16;78;66;59;52;51;43;61;33;13;0;248;10;43;33;26;28;23;25;32;20;8;0;224;6;35;33;33;24;28;18;29;13;5;0
0503;Covilhã;3301;123;387;379;345;377;356;376;432;366;159;1;1550;76;201;188;159;161;156;170;205;152;82;0;1751;47;186;191;186;216;200;206;227;214;77;1
0504;Fundão;1718;49;228;222;198;169;190;213;187;180;78;4;805;33;102;109;81;67;80;100;96;88;48;1;913;16;126;113;117;102;110;113;91;92;30;3
16B;Oeste;19504;1089;2595;2509;2367;2335;2153;2059;1988;1588;814;7;9501;588;1356;1214;1038;1047;956;974;1002;862;462;2;10003;501;1239;1295;1329;1288;1197;1085;986;726;352;5
1001;Alcobaça;2878;123;370;344;311;349;335;357;343;242;102;2;1303;63;188;146;120;136;132;166;172;123;56;1;1575;60;182;198;191;213;203;191;171;119;46;1
1005;Bombarral;700;58;99;79;79;71;75;81;61;63;34;0;333;25;47;41;39;26;32;35;34;34;20;0;367;33;52;38;40;45;43;46;27;29;14;0
1006;Caldas da Rainha;3353;170;423;412;424;381;350;386;384;270;150;3;1653;94;232;196;198;181;157;189;183;142;81;0;1700;76;191;216;226;200;193;197;201;128;69;3
1011;Nazaré;982;51;131;142;147;112;108;100;106;58;27;0;441;25;62;68;62;55;37;39;42;32;19;0;541;26;69;74;85;57;71;61;64;26;8;0
1012;Óbidos;572;22;73;65;70;64;60;60;64;65;29;0;273;13;37;26;30;24;22;31;29;42;19;0;299;9;36;39;40;40;38;29;35;23;10;0
1014;Peniche;1865;104;265;231;227;200;207;202;188;156;85;0;891;64;140;127;101;90;97;89;73;71;39;0;974;40;125;104;126;110;110;113;115;85;46;0
1101;Alenquer;2353;146;281;325;309;294;256;250;223;179;88;2;1125;88;136;153;128;138;108;105;120;94;54;1;1228;58;145;172;181;156;148;145;103;85;34;1
1102;Arruda dos Vinhos;518;26;75;69;68;72;72;56;28;29;23;0;233;14;32;26;27;28;34;28;16;12;16;0;285;12;43;43;41;44;38;28;12;17;7;0
