Codigo;Local;HM;HM-15:19;HM-20:24;HM-25:29;HM-30:34;HM-35:39;HM-40:44;HM-45:49;HM-50:54;HM-55:59;HM-60:64;HM-65+;H;H-15:19;H-20:24;H-25:29;H-30:34;H-35:39;H-40:44;H-45:49;H-50:54;H-55:59;H-60:64;H-65+;M;M-15:19;M-20:24;M-25:29;M-30:34;M-35:39;M-40:44;M-45:49;M-50:54;M-55:59;M-60:64;M-65+
PT;Portugal;662180;33390;87186;80904;77933;78586;74253;74279;70290;57088;27988;283;327600;17831;43187;39070;35807;35968;35140;36548;35838;31752;16352;107;334580;15559;43999;41834;42126;42618;39113;37731;34452;25336;11636;176
1;Continente;630711;31130;81467;75850;73779;74836;70978;71209;67998;55729;27459;276;309345;16588;40210;36297;33407;33780;33169;34664;34334;30815;15979;102;321366;14542;41257;39553;40372;41056;37809;36545;33664;24914;11480;174
11;Norte;254182;12360;31259;29114;27809;29626;29149;30832;30155;23780;10039;59;120019;6529;14570;13455;11988;12514;12818;14152;14616;13220;6134;23;134163;5831;16689;15659;15821;17112;16331;16680;15539;10560;3905;36
111;Minho-Lima;12330;573;1708;1560;1524;1541;1417;1381;1247;920;453;6;5892;309;810;717;678;603;630;659;638;544;302;2;6438;264;898;843;846;938;787;722;609;376;151;4
1601;Arcos de Valdevez;801;41;115;97;97;93;90;96;96;53;23;0;405;19;51;44;53;43;38;55;51;36;15;0;396;22;64;53;44;50;52;41;45;17;8;0
1602;Caminha;946;47;137;139;110;101;93;104;99;67;48;1;452;29;69;56;49;36;38;54;52;41;28;0;494;18;68;83;61;65;55;50;47;26;20;1
1603;Melgaço;283;11;55;60;27;41;26;26;26;10;1;0;136;7;20;27;13;23;16;8;15;7;0;0;147;4;35;33;14;18;10;18;11;3;1;0
1604;Monção;711;29;114;95;90;85;78;74;80;43;23;0;385;15;55;41;45;37;47;46;51;29;19;0;326;14;59;54;45;48;31;28;29;14;4;0
1605;Paredes de Coura;416;25;63;58;48;55;47;47;36;18;19;0;224;15;32;32;25;27;27;25;19;10;12;0;192;10;31;26;23;28;20;22;17;8;7;0
1606;Ponte da Barca;598;34;94;84;77;74;68;61;51;42;13;0;305;20;45;39;41;31;32;31;28;26;12;0;293;14;49;45;36;43;36;30;23;16;1;0
1607;Ponte de Lima;2236;105;278;275;294;271;259;278;200;180;95;1;1017;54;132;123;107;103;96;114;99;116;72;1;1219;51;146;152;187;168;163;164;101;64;23;0
1608;Valença;753;23;107;92;87;89;100;91;78;56;29;1;398;9;50;41;39;46;57;56;47;33;20;0;355;14;57;51;48;43;43;35;31;23;9;1
1609;Viana do Castelo;5182;242;680;607;644;688;613;568;544;413;180;3;2343;135;315;290;281;230;255;250;255;221;110;1;2839;107;365;317;363;458;358;318;289;192;70;2
1610;Vila Nova de Cerveira;404;16;65;53;50;44;43;36;37;38;22;0;227;6;41;24;25;27;24;20;21;25;14;0;177;10;24;29;25;17;19;16;16;13;8;0
112;Cávado;25980;1300;3318;3126;3117;3204;2950;2871;2912;2249;928;5;11803;683;1487;1411;1286;1221;1236;1289;1351;1221;616;2;14177;617;1831;1715;1831;1983;1714;1582;1561;1028;312;3
0301;Amares;1198;52;171;147;154;177;150;131;94;70;52;0;541;24;80;54;49;61;73;60;55;48;37;0;657;28;91;93;105;116;77;71;39;22;15;0
0302;Barcelos;7222;427;883;712;746;850;803;839;909;737;314;2;3446;230;394;359;320;360;375;375;414;392;226;1;3776;197;489;353;426;490;428;464;495;345;88;1
0303;Braga;12440;548;1527;1619;1572;1570;1393;1356;1390;1065;398;2;5591;278;709;740;665;615;547;607;633;554;242;1;6849;270;818;879;907;955;846;749;757;511;156;1
0306;Esposende;1923;89;275;217;229;215;231;184;220;167;95;1;809;48;111;93;96;59;78;74;97;91;62;0;1114;41;164;124;133;156;153;110;123;76;33;1
0310;Terras de Bouro;461;20;79;66;63;43;48;57;39;33;13;0;185;10;31;22;23;9;17;21;24;21;7;0;276;10;48;44;40;34;31;36;15;12;6;0
0313;Vila Verde;2736;164;383;365;353;349;325;304;260;177;56;0;1231;93;162;143;133;117;146;152;128;115;42;0;1505;71;221;222;220;232;179;152;132;62;14;0
119;Ave;38754;1743;3957;3598;3650;4220;4334;5171;5711;4898;1468;4;17979;943;1814;1683;1550;1819;1897;2264;2580;2558;869;2;20775;800;2143;1915;2100;2401;2437;2907;3131;2340;599;2
0307;Fafe;3465;199;409;402;333;352;389;401;410;441;129;0;1698;108;189;185;148;158;195;197;203;231;84;0;1767;91;220;217;185;194;194;204;207;210;45;0
0308;Guimarães;11576;557;1202;1067;1103;1277;1371;1578;1767;1339;315;0;5566;325;573;540;504;566;642;691;818;732;175;0;6010;232;629;527;599;711;729;887;949;607;140;0
0309;Póvoa de Lanhoso;1243;78;180;146;153;137;136;151;118;97;47;0;600;30;75;58;66;60;59;81;76;59;36;0;643;48;105;88;87;77;77;70;42;38;11;0
0311;Vieira do Minho;778;33;120;101;95;101;74;98;67;57;31;1;379;17;63;42;40;42;36;46;37;36;20;0;399;16;57;59;55;59;38;52;30;21;11;1
0312;Vila Nova de Famalicão;10248;430;979;926;942;1170;1096;1288;1537;1449;431;0;4622;229;429;413;355;491;440;590;702;727;246;0;5626;201;550;513;587;679;656;698;835;722;185;0
0314;Vizela;1817;64;178;165;149;191;185;270;320;241;54;0;901;32;89;93;70;96;101;126;137;126;31;0;916;32;89;72;79;95;84;144;183;115;23;0
1314;Santo;Tirso;6215;238;545;485;553;596;657;924;1039;894;283;1;2824;130;250;226;253;258;261;368;432;474;172;0;3391;108;295;259;300;338;396;556;607;420;111;1
1318;Trofa;3412;144;344;306;322;396;426;461;453;380;178;2;1389;72;146;126;114;148;163;165;175;173;105;2;2023;72;198;180;208;248;263;296;278;207;73;0
11A;Área Metropolitana do Porto;104548;4739;12499;11999;11480;12334;12209;12885;12538;9565;4268;32;50573;2507;6210;5841;5268;5431;5474;5989;6080;5258;2501;14;53975;2232;6289;6158;6212;6903;6735;6896;6458;4307;1767;18
0107;Espinho;2686;137;311;293;270;295;298;343;335;288;115;1;1296;68;146;134;132;134;131;176;165;147;63;0;1390;69;165;159;138;161;167;167;170;141;52;1
1304;Gondomar;14172;687;1755;1578;1473;1766;1670;1795;1699;1205;543;1;7004;376;884;742;658;826;767;865;888;676;321;1;7168;311;871;836;815;940;903;930;811;529;222;0
1306;Maia;9995;424;1103;1102;1129;1180;1254;1272;1201;903;422;5;4616;232;544;500;478;482;531;525;569;497;256;2;5379;192;559;602;651;698;723;747;632;406;166;3
1308;Matosinhos;13267;608;1725;1593;1396;1459;1418;1586;1607;1281;590;4;6600;313;873;778;697;634;662;751;816;741;334;1;6667;295;852;815;699;825;756;835;791;540;256;3
1312;Porto;18879;776;2397;2502;2147;2007;2007;2214;2254;1715;852;8;9851;393;1216;1342;1119;1021;1055;1139;1180;930;453;3;9028;383;1181;1160;1028;986;952;1075;1074;785;399;5
1313;Póvoa de Varzim;4270;223;492;505;494;487;452;478;514;424;199;2;1992;125;243;230;230;196;201;194;232;214;126;1;2278;98;249;275;264;291;251;284;282;210;73;1
1315;Valongo;8138;432;953;941;942;1065;993;1011;936;618;247;0;3707;218;436;434;383;412;416;461;435;350;162;0;4431;214;517;507;559;653;577;550;501;268;85;0
1316;Vila do Conde;5795;284;657;629;620;674;659;687;716;612;253;4;2527;164;277;298;242;277;234;266;289;318;159;3;3268;120;380;331;378;397;425;421;427;294;94;1
1317;Vila Nova de Gaia;27346;1168;3106;2856;3009;3401;3458;3499;3276;2519;1047;7;12980;618;1591;1383;1329;1449;1477;1612;1506;1385;627;3;14366;550;1515;1473;1680;1952;1981;1887;1770;1134;420;4
11B;Alto Tâmega;36748;2259;4824;4291;3999;4427;4430;4369;3941;2904;1298;6;17225;1184;2062;1800;1545;1794;1939;2092;2094;1837;877;1;19523;1075;2762;2491;2454;2633;2491;2277;1847;1067;421;5
0106;Castelo de Paiva;1271;59;153;131;135;169;182;171;143;93;35;0;535;29;56;48;51;68;75;63;75;53;17;0;736;30;97;83;84;101;107;108;68;40;18;0
0304;Cabeceiras de Basto;1016;70;150;136;131;125;124;120;92;47;19;2;413;25;59;55;44;44;45;42;52;31;15;1;603;45;91;81;87;81;79;78;40;16;4;1
0305;Celorico de Basto;1337;92;222;168;147;158;155;146;133;74;42;0;646;52;106;76;60;64;74;74;75;42;23;0;691;40;116;92;87;94;81;72;58;32;19;0
1301;Amarante;3514;172;464;443;390;430;458;434;346;256;119;2;1393;84;194;164;126;126;138;177;163;145;76;0;2121;88;270;279;264;304;320;257;183;111;43;2
1302;Baião;1579;81;232;236;186;188;174;193;145;105;39;0;620;35;85;76;49;51;55;87;80;73;29;0;959;46;147;160;137;137;119;106;65;32;10;0
1303;Felgueiras;3079;155;370;328;285;335;296;351;462;351;146;0;1529;83;158;156;135;150;148;170;234;203;92;0;1550;72;212;172;150;185;148;181;228;148;54;0
1305;Lousada;3178;198;372;349;318;390;401;393;353;297;107;0;1538;112;170;158;132;165;209;180;163;179;70;0;1640;86;202;191;186;225;192;213;190;118;37;0
