Local;HM;HM-0:4;HM-15:24;HM-25:64;HM-65+;H;H-0:14;H-15:24;H-25:64;H-65+;M;M-0:14;M-15:24;M-25:64;M-65+
1016:Porto de Mós;23202;2876;2526;12006;5794;11272;1483;1334;5940;2515;11930;1393;1192;6066;3279
16G:Viseu Dão Lafões;252777;29138;25521;126351;71767;119411;14875;13084;60388;31064;133366;14263;12437;65963;40703
0901:Aguiar da Beira;5231;435;414;2370;2012;2456;216;224;1152;864;2775;219;190;1218;1148
1802:Carregal do Sal;9038;1005;863;4308;2862;4234;505;422;2078;1229;4804;500;441;2230;1633
1803:Castro Daire;13736;1331;1324;6636;4445;6536;673;672;3294;1897;7200;658;652;3342;2548
1806:Mangualde;18303;2026;1845;9033;5399;8736;1010;968;4364;2394;9567;1016;877;4669;3005
1809:Nelas;13119;1522;1286;6290;4021;6198;787;687;3000;1724;6921;735;599;3290;2297
1810:Oliveira de Frades;9506;1161;1027;4952;2366;4561;587;538;2427;1009;4945;574;489;2525;1357
1811:Penalva do Castelo;7333;750;680;3340;2563;3507;412;355;1630;1110;3826;338;325;1710;1453
1814:Santa Comba Dão;10641;1169;981;5032;3459;5023;609;489;2402;1523;5618;560;492;2630;1936
1816:São Pedro do Sul;15137;1489;1514;7167;4967;7146;762;774;3490;2120;7991;727;740;3677;2847
1817:Sátão;11030;1204;1122;5335;3369;5215;623;564;2583;1445;5815;581;558;2752;1924
1821:Tondela;25910;2596;2454;12586;8274;12247;1331;1305;6024;3587;13663;1265;1149;6562;4687
1822:Vila Nova de Paiva;4662;467;441;2224;1530;2235;267;215;1094;659;2427;200;226;1130;871
1823:Viseu;99551;13025;10626;52420;23480;46802;6627;5387;24585;10203;52749;6398;5239;27835;13277
1824:Vouzela;9580;958;944;4658;3020;4515;466;484;2265;1300;5065;492;460;2393;1720
16H:Beira Baixa;80751;8173;6769;38755;27054;38417;4174;3503;19021;11719;42334;3999;3266;19734;15335
